Item,Title,Price,Image_link,Purchase_link
Apple,iPhone 11 Pro Max 512GB,"165,000",https://www.buymobile.com.bd/image/cache/catalog/buymobile/2019/009/Apple_iPhone_11_Pro_mul-228x228.jpg,https://www.buymobile.com.bd/iphone-11-pro-max-512GB
Apple,iPhone 11 Pro Max 256GB,"140,000",https://www.buymobile.com.bd/image/cache/catalog/buymobile/2019/009/llllllllllllllllll-228x228.jpg,https://www.buymobile.com.bd/iphone-11-pro-max-256gb
Apple,iPhone 11 Pro Max 64GB,"105,000",https://www.buymobile.com.bd/image/cache/catalog/buymobile/2019/009/apple-iphone-11-pro-promax-featured-228x228.png,https://www.buymobile.com.bd/iphone-11-pro-max-64gb
Apple,iPhone 11 Pro 512GB,"150,000",https://www.buymobile.com.bd/image/cache/catalog/buymobile/2019/009/Apple%20iPhone%2011%20Pro%202-228x228.jpg,https://www.buymobile.com.bd/iphone-11-pro-512gb
Apple,iPhone 11 Pro 256GB,"127,000",https://www.buymobile.com.bd/image/cache/catalog/buymobile/2019/009/Apple_iPhone_11_Pro_mul-228x228.jpg,https://www.buymobile.com.bd/iphone-11-pro-256gb
Apple,iPhone 11 256GB,"88,000",https://www.buymobile.com.bd/image/cache/catalog/buymobile/2019/009/iphone11-red-select-2019-228x228.png,https://www.buymobile.com.bd/iphone-11-256gb
Apple,iPhone 11 128GB,"77,000",https://www.buymobile.com.bd/image/cache/catalog/buymobile/2019/009/iphone11-black-select-2019-228x228.png,https://www.buymobile.com.bd/iphone-11-128gb
Apple,iPhone 11 64 GB,"69,000",https://www.buymobile.com.bd/image/cache/catalog/buymobile/2019/009/iphone-11-228x228.jpg,https://www.buymobile.com.bd/iphone-11-pro-64gb
Apple,iPhone 11 Pro 64 GB,"98,000",https://www.buymobile.com.bd/image/cache/catalog/buymobile/2019/009/iphone-11-pro-select-2019-family-228x228.jpg,https://www.buymobile.com.bd/iPhone-11-pro-64-gb-price-in-bangladesh
Umidigi,Umidigi Z2 Price Bangladesh,"13,500",https://www.buymobile.com.bd/image/cache/catalog/umidigi/umidigi-z2/z1-228x228.jpg,https://www.buymobile.com.bd/umidigi-z2-Price-bangladesh
Oppo,Oppo R17 Pro,"69,990",https://www.buymobile.com.bd/image/cache/catalog/oppo/r17-pro/r17-pro1-228x228.jpg,https://www.buymobile.com.bd/oppo-r17-pro
Alcatel,Alcatel 2053D,"1,800",https://www.buymobile.com.bd/image/cache/catalog/buymobile/2019/001/alcatel-20-53-czarny-1-228x228.jpg,https://www.buymobile.com.bd/alcatel-2053
Ovvi,Ovvi Brown 1,"5,990",https://www.buymobile.com.bd/image/cache/catalog/ovvi/feature-228x228.jpg,https://www.buymobile.com.bd/ovvi-brown-1
OnePlus,OnePlus 6T,"50,000",https://www.buymobile.com.bd/image/cache/catalog/oneplus/one-6t/oneplus-6t-price-bangladesh-228x228.jpg,https://www.buymobile.com.bd/oneplus-6t
BLU,BLU Diva Flex,"2,000",https://www.buymobile.com.bd/image/cache/catalog/blu/b1-228x228.jpg,https://www.buymobile.com.bd/blu-diva-flex
Infinix,Infinix Smart 2 Pro,"8,990",https://www.buymobile.com.bd/image/cache/catalog/infinix/smart-2-pro/in1-228x228.jpg,https://www.buymobile.com.bd/infinix-smart-2-pro
Xiaomi,Xiaomi Redmi 6A,"8,500",https://www.buymobile.com.bd/image/cache/catalog/xiaomi/redmi-6a/mi3-228x228.png,https://www.buymobile.com.bd/xiaomi-redmi-6a
Lenovo,Lenovo S5,"21,990",https://www.buymobile.com.bd/image/cache/catalog/lenovo/lenovo-s5/l11-228x228.jpg,https://www.buymobile.com.bd/lenovo-s5
Lenovo,Lenovo K5 Play,"14,490",https://www.buymobile.com.bd/image/cache/catalog/lenovo/k5-play/l4-228x228.jpg,https://www.buymobile.com.bd/lenovo-k5-play
